Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Type Of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,
Customer Account Waived Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of waived fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Sell Trades Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all sell trades on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees In Arrears Amount,glossary_term,Customer Vocabulary >> Customer Behavior,"The sum of amount of all fees on the customer account which is owed to the financial institution on payments due on the account, but not received as of the payment due date.",,,,,,,,,,
Customer Account Market Change Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all transactions related to market change on the customer account in assessed period.,,,,,,,,,,
Properties Owned,glossary_term,Customer Vocabulary >> Customer Behavior,The number of properties owned by the customer.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Transaction Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of transaction related fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all fees on the customer account in assessed period.,,,,,,,,,,
Returned Customers,glossary_term,Customer Vocabulary >> Customer Behavior,The number of ex-customers that became active again by signing a new customer agreement in a given period of time.,,,,,,,,,,
Customer Account Buy Trades Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all buy trades on the customer account in assessed period.,,,,,,,,,,
Customer Account Deposits,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all deposit transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Interest Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of interest related fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees,glossary_term,Customer Vocabulary >> Customer Behavior,Number of fee transactions appearing on the customer account in assessed period.,,,,,,,,,,
Secure Growth As Investment Objective Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts that have 'secure growth' set as their investment objective.,,,,,,,,,,
Customer Attrition Rate,glossary_term,Customer Vocabulary >> Customer Behavior,The ratio of the customers lost in a given period to the number of customers that were active at the start of that period.,,,,,,,,,,
Customer Account Deposits Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all deposit transactions on the customer account in assessed period.,,,,,,,,,,
Tax Advantage Indicator,glossary_term,Customer Vocabulary >> Customer Behavior,"Indicates whether the account provides a tax benefit to customer, or not.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Customer Account Units Bought,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units bought in trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Withdrawals,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all withdrawal transactions on the customer account in assessed period.,,,,,,,,,,
Transaction Count,glossary_term,Customer Vocabulary >> Customer Behavior,"The number of transactions performed by, or on behalf of, the organization.",,,,,,,,,,
Customer Tenure,glossary_term,Customer Vocabulary >> Customer Behavior,The duration in years or months since the start date of the first agreement the customer had with the organization.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Withdrawals Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all withdrawal transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Interest Earned Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The amount of all interests earned on the customer account in assessed period.,,,,,,,,,,
Customer Account Sell Trades,glossary_term,Customer Vocabulary >> Customer Behavior,Number of sell trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Buy Trades,glossary_term,Customer Vocabulary >> Customer Behavior,Number of buy trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Commision Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of commission amounts from all trades on the customer account in assessed period.,,,,,,,,,,
Trading Volume,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of all amounts of trades carried out by customer in assessed period.,,,,,,,,,,
Top Spending Category,glossary_term,Customer Vocabulary >> Customer Behavior,"The personal expenses category with highest customer spending, for example: food, health, housing, insurance, personal, recreation, savings, transportation, utilities.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Units Sold,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units sold in trade transactions on the customer account in assessed period.,,,,,,,,,,
Security As Investment Objective Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts that have 'security' set as their investment objective.,,,,,,,,,,
Very Low Risk Tolerance Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts with very low tolerance to market risk.,,,,,,,,,,
